Date,Range_High,Range_Low,Range_Size_Pts,Signal,Signal_Time,Signal_Price,Score_Trend,Score_RangeATR,Score_Strength,Score_Volume,Score_TimeOfDay,Total_Score,Grade,Take_Trade
2026-07-14,21774.45,21765.97,8.48,BUY,2026-07-14 10:30:00-04:00,21791.41,20,20,20,10,20,90,A,YES
2026-06-10,21417.43,21398.21,19.22,SELL,2026-06-10 10:30:00-04:00,21381.81,10,15,20,20,20,85,A,YES
2026-07-02,21628.08,21625.11,2.97,BUY,2026-07-02 10:30:00-04:00,21643.51,20,20,20,5,20,85,A,YES
2026-05-26,21255.94,21247.93,8.01,BUY,2026-05-26 10:30:00-04:00,21274.99,20,20,20,0,20,80,A,YES
2026-07-09,21806.32,21805.36,0.96,SELL,2026-07-09 10:30:00-04:00,21791.13,10,20,20,10,20,80,A,YES
2026-07-27,22139.92,22120.55,19.37,BUY,2026-07-27 10:30:00-04:00,22151.32,20,15,15,10,20,80,A,YES
2026-05-08,21385.41,21371.04,14.37,SELL,2026-05-08 10:30:00-04:00,21342.1,10,15,20,10,20,75,B,YES
2026-06-01,21218.32,21217.83,0.49,SELL,2026-06-01 10:30:00-04:00,21178.96,10,20,20,5,20,75,B,YES
2026-07-16,21943.67,21924.23,19.44,BUY,2026-07-16 10:30:00-04:00,22000.14,20,10,20,5,20,75,B,YES
2026-07-20,21909.92,21904.11,5.81,SELL,2026-07-20 10:30:00-04:00,21867.91,0,20,20,15,20,75,B,YES
2026-07-21,21935.06,21930.84,4.22,BUY,2026-07-21 10:30:00-04:00,21970.58,10,20,20,5,20,75,B,YES
2026-07-30,21973.55,21963.77,9.78,SELL,2026-07-30 10:30:00-04:00,21953.74,20,20,15,0,20,75,B,YES
2026-06-11,21426.69,21407.15,19.54,BUY,2026-06-11 10:30:00-04:00,21449.04,20,10,20,5,20,75,B,YES
2026-06-22,21599.42,21595.65,3.77,BUY,2026-06-22 10:30:00-04:00,21661.7,10,20,20,5,20,75,B,YES
2026-06-03,21233.47,21220.07,13.4,BUY,2026-06-03 10:30:00-04:00,21250.88,10,15,20,10,20,75,B,YES
2026-05-13,21245.68,21244.06,1.62,SELL,2026-05-13 10:30:00-04:00,21220.19,0,20,20,15,20,75,B,YES
2026-08-04,21886.48,21870.42,16.06,SELL,2026-08-04 10:30:00-04:00,21861.67,10,10,20,15,20,75,B,YES
2026-06-05,21326.14,21324.78,1.36,BUY,2026-06-05 10:30:00-04:00,21350.78,10,20,20,0,20,70,B,YES
2026-06-09,21466.17,21437.16,29.01,SELL,2026-06-09 10:30:00-04:00,21406.72,10,10,20,10,20,70,B,YES
2026-05-15,21259.45,21244.76,14.69,BUY,2026-05-15 10:30:00-04:00,21263.45,20,15,10,5,20,70,B,YES
2026-06-29,21538.71,21521.26,17.45,BUY,2026-06-29 10:30:00-04:00,21548.14,10,15,15,10,20,70,B,YES
2026-05-12,21240.02,21238.34,1.68,SELL,2026-05-12 10:30:00-04:00,21186.79,10,20,20,0,20,70,B,YES
2026-05-05,21581.57,21545.24,36.33,SELL,2026-05-05 10:30:00-04:00,21512.16,20,0,20,10,20,70,B,YES
2026-06-30,21528.49,21526.82,1.67,BUY,2026-06-30 10:30:00-04:00,21538.87,10,20,15,5,20,70,B,YES
2026-06-23,21681.0,21650.32,30.68,BUY,2026-06-23 10:30:00-04:00,21689.4,20,10,10,10,20,70,B,YES
2026-07-22,21919.05,21909.99,9.06,SELL,2026-07-22 10:30:00-04:00,21882.99,10,20,20,0,20,70,B,YES
2026-07-07,21858.05,21840.76,17.29,BUY,2026-07-07 10:30:00-04:00,21868.76,20,10,20,0,20,70,B,YES
2026-05-22,21147.81,21145.58,2.23,BUY,2026-05-22 10:30:00-04:00,21159.31,0,20,20,10,20,70,B,YES
2026-06-26,21498.1,21485.69,12.41,BUY,2026-06-26 11:30:00-04:00,21516.17,10,15,20,10,14,69,B,YES
2026-05-19,21303.35,21252.04,51.31,SELL,2026-05-19 11:30:00-04:00,21239.39,20,0,15,20,14,69,B,YES
2026-05-06,21469.21,21434.17,35.04,SELL,2026-05-06 12:30:00-04:00,21405.7,20,5,20,15,8,68,B,YES
2026-07-08,21865.27,21837.27,28.0,SELL,2026-07-08 10:30:00-04:00,21827.01,10,10,15,10,20,65,B,YES
2026-07-24,21976.33,21941.87,34.46,BUY,2026-07-24 10:30:00-04:00,22021.42,20,5,20,0,20,65,B,YES
2026-06-19,21587.64,21578.56,9.08,SELL,2026-06-19 10:30:00-04:00,21573.56,10,20,10,5,20,65,B,YES
2026-06-02,21213.2,21208.8,4.4,BUY,2026-06-02 10:30:00-04:00,21220.3,10,20,15,0,20,65,B,YES
2026-06-12,21569.5,21519.44,50.06,BUY,2026-06-12 11:30:00-04:00,21596.66,20,0,20,10,14,64,C,YES
2026-05-21,21254.85,21233.84,21.01,SELL,2026-05-21 12:30:00-04:00,21196.5,20,10,20,5,8,63,C,YES
2026-07-01,21577.7,21573.69,4.01,SELL,2026-07-01 10:30:00-04:00,21559.39,0,20,20,0,20,60,C,YES
2026-06-04,21387.86,21385.89,1.97,SELL,2026-06-04 10:30:00-04:00,21380.01,0,20,10,10,20,60,C,YES
2026-05-04,21621.35,21604.05,17.3,BUY,2026-05-04 10:30:00-04:00,21636.23,10,10,10,10,20,60,C,YES
